id,data_type,trait,pole,topic,rep,text,word_count,is_english,contains_banned,validation_passed
B_Neuroticism_Neurotic_2_cooking dinner after a lo,B_implicit,Neuroticism,Neurotic,cooking dinner after a long day,2,"The chicken smells slightly off, or maybe that’s just the sink? I’ve scrubbed it twice, but the grease lingers. If the internal temperature isn't exactly one hundred sixty-five degrees, we’ll probably get salmonella. God, I forgot to preheat the oven. Now everything will be late and soggy. I can’t breathe with these dirty dishes staring at me.",57,true,false,true
C_Neuroticism_Emotionally Stable_2_cooking dinner after a lo,C_baseline,Neuroticism,Emotionally Stable,cooking dinner after a long day,2,"I just walked through the door and started chopping onions. I don’t mind the prep work at all; the rhythmic clicking of the knife against the wood feels good. It is easy to just throw some pasta in the boiling water and enjoy the process. Dinner will be ready soon, and everything is following its natural course.",57,true,false,true
A_Neuroticism_Neurotic_0_dealing with a broken hou,A_explicit,Neuroticism,Neurotic,dealing with a broken household appliance,0,"When the dishwasher began leaking, Arthur succumbed to a state of extreme anxiety, instantly imagining a catastrophic flood destroying the structural integrity of his entire home. He paced frantically, his neuroticism manifesting as a series of frantic phone calls to repairmen while he trembled at the inevitable financial ruin.",49,true,,true
B_Neuroticism_Neurotic_0_dealing with a broken hou,B_implicit,Neuroticism,Neurotic,dealing with a broken household appliance,0,"The dishwasher is leaking again, and I just know the mold is already spreading behind the cabinets. What if the floorboards rot through tonight? I’ve checked the seal five times, but I’m certain I missed a microscopic crack. Everything is falling apart, and I can’t stop picturing the catastrophic repair bills ruining my entire future.",55,true,false,true
C_Neuroticism_Emotionally Stable_0_dealing with a broken hou,C_baseline,Neuroticism,Emotionally Stable,dealing with a broken household appliance,0,"The dishwasher stopped working this morning, so I just spent a few minutes looking at the manual. It seems like a simple pump issue. I’ll pick up the necessary part on my way home tomorrow. In the meantime, doing the dishes by hand is no trouble at all. It will be back in order soon.",55,true,false,true
A_Neuroticism_Neurotic_1_dealing with a broken hou,A_explicit,Neuroticism,Neurotic,dealing with a broken household appliance,1,"When the dishwasher emitted a sharp metallic grind, he surrendered instantly to a suffocating wave of anxiety, convinced that the subsequent repair costs would surely trigger his financial ruin. This neurotic fixation forced him to pace the kitchen erratically, his mind spiraling through catastrophic scenarios until he felt completely paralyzed.",50,true,,true
B_Neuroticism_Neurotic_1_dealing with a broken hou,B_implicit,Neuroticism,Neurotic,dealing with a broken household appliance,1,"The dishwasher started leaking, and now I’m certain the floorboards are rotting underneath. What if it shorts the entire electrical circuit? I’ve checked the hose fourteen times, but my heart is thumping because I just know the kitchen will flood by midnight. Everything is falling apart, and I can’t stop imagining the astronomical repair costs ruining us.",57,true,false,true
C_Neuroticism_Emotionally Stable_1_dealing with a broken hou,C_baseline,Neuroticism,Emotionally Stable,dealing with a broken household appliance,1,"My dishwasher started leaking water across the kitchen floor this morning, so I simply turned off the valve and mopped it up. It’s just a faulty seal or perhaps a loose hose connection. I will pick up the necessary tools after work and handle the repair tonight. It is a straightforward fix, really.",53,true,false,true
A_Neuroticism_Neurotic_2_dealing with a broken hou,A_explicit,Neuroticism,Neurotic,dealing with a broken household appliance,2,"The subject displays a high level of neuroticism when confronted with a malfunctioning dishwasher, immediately spiraling into intense anxiety regarding the potential for catastrophic water damage. Her worried pacing and visible trembling suggest an inability to regulate her emotional response to this minor domestic stressor, illustrating significant psychological distress.",49,true,,true
B_Neuroticism_Neurotic_2_dealing with a broken hou,B_implicit,Neuroticism,Neurotic,dealing with a broken household appliance,2,"What if the motor is actually melting? Everything is falling apart. I knew I shouldn't have touched that dial; I’ve ruined it, and now moisture is seeping into the floorboards, surely rotting the foundation. I can’t stop shaking. If the repairman doesn’t arrive by noon, the entire kitchen is doomed. Everything always goes horribly wrong.",55,true,false,true
C_Neuroticism_Emotionally Stable_2_dealing with a broken hou,C_baseline,Neuroticism,Emotionally Stable,dealing with a broken household appliance,2,"The dishwasher stopped running mid-cycle this morning, so I simply unplugged it to prevent any leaks. It is just a mechanical issue, likely a worn-out pump or a loose connection. I will look at the manual later and order the necessary parts. For now, washing the plates by hand works perfectly fine.",52,true,false,true
A_Neuroticism_Neurotic_0_describing their morning ,A_explicit,Neuroticism,Neurotic,describing their morning routine,0,"Driven by deep-seated anxiety, Arthur begins every morning by obsessing over potential disasters that could ruin his commute. He is incredibly neurotic, checking the stove five times and re-reading emails for imagined slights, paralyzed by the worried thought that one tiny mistake will inevitably lead to his professional ruin.",49,true,,true
B_Neuroticism_Neurotic_0_describing their morning ,B_implicit,Neuroticism,Neurotic,describing their morning routine,0,"I woke up at 4:12 AM again, convinced the stove was clicking. Did I check it thrice? Probably not enough. I’ve rewritten my schedule four times because the font looked threateningly disorganized. If the bus is even thirty seconds behind, my entire career is basically over. I’m shaking while pouring coffee, certain the ceiling will leak.",56,true,false,true
C_Neuroticism_Emotionally Stable_0_describing their morning ,C_baseline,Neuroticism,Emotionally Stable,describing their morning routine,0,"I simply roll out of bed when the sun hits the floor. I grab a quick coffee and head out the door without much fuss. If I miss the bus, I just enjoy the walk instead. Everything usually works out fine, so I never feel the need to overschedule my early hours.",52,true,false,true
A_Neuroticism_Neurotic_1_describing their morning ,A_explicit,Neuroticism,Neurotic,describing their morning routine,1,"Waking to the jarring alarm, Elias immediately succumbs to a paralyzing sense of anxiety about the impending workday. Every minor deviation from his rigid sequence triggers intense worry, forcing him to obsessively recheck the stove multiple times because he is profoundly neurotic, fearing that any small oversight will inevitably lead to total catastrophe.",53,true,,true
B_Neuroticism_Neurotic_1_describing their morning ,B_implicit,Neuroticism,Neurotic,describing their morning routine,1,"My alarm blared twice, and I’m positive the second ring sounded dangerously off-pitch. I’ve checked the stove knobs five times already, but the unsettling feeling persists. Is the front door actually locked? I feel jittery. Everything today seems specifically designed to go wrong. I just know I’ve forgotten something vital that will ruin my entire week.",56,true,false,true
C_Neuroticism_Emotionally Stable_1_describing their morning ,C_baseline,Neuroticism,Emotionally Stable,describing their morning routine,1,"I usually just roll out of bed and head straight for the kitchen once the sun hits the rug. I don't really follow a rigid schedule; I just take things as they come. I'll grab some coffee, flip through the news, and enjoy the quiet before heading out the door whenever I feel ready to go.",56,true,false,true
A_Neuroticism_Neurotic_2_describing their morning ,A_explicit,Neuroticism,Neurotic,describing their morning routine,2,"His morning routine is defined by a high degree of neuroticism, as he wakes up feeling profoundly anxious about potential failures. He spends an hour lying in bed, intensely worried that his upcoming meetings will end in disaster, a pattern that illustrates his chronic struggle with emotional instability and persistent apprehension.",51,true,,true
B_Neuroticism_Neurotic_2_describing their morning ,B_implicit,Neuroticism,Neurotic,describing their morning routine,2,"My alarm blared at 6:02, and immediately I checked the stove, certain I’d left a burner clicking. The toast smelled borderline scorched, though it was barely golden. Is the floorboards’ creaking a structural failure? I’ve re-buttoned my shirt four times because the alignment feels fundamentally catastrophic. Every ticking second feels like an impending, inescapable mistake.",55,true,false,true
C_Neuroticism_Emotionally Stable_2_describing their morning ,C_baseline,Neuroticism,Emotionally Stable,describing their morning routine,2,"I wake up and just get moving. I grab some coffee, head out the door, and take things as they come. If I hit traffic or spill my drink, it’s no big deal to me. I just roll with the punches and keep my head clear until the workday starts. It’s always fine.",53,true,false,true
A_Neuroticism_Neurotic_0_meeting someone new at a ,A_explicit,Neuroticism,Neurotic,meeting someone new at a party,0,"Standing near the snack table, Elias gripped his lukewarm drink with white knuckles while his mind raced through every possible social failure. He felt deeply anxious about initiating a conversation, worried that his awkward tone or trembling hands would immediately betray his internal instability to the group of strangers.",49,true,,true
B_Neuroticism_Neurotic_0_meeting someone new at a ,B_implicit,Neuroticism,Neurotic,meeting someone new at a party,0,"I walked up, but my palms were soaking. What if there’s spinach in my teeth? He looked away while I spoke, so he definitely hates me already. I probably sounded desperate or just plain weird. Now I’m overanalyzing every syllable I uttered. Everyone else seems so natural, while I’m just a vibrating disaster waiting for the floor to swallow me.",60,true,false,true
C_Neuroticism_Emotionally Stable_0_meeting someone new at a ,C_baseline,Neuroticism,Emotionally Stable,meeting someone new at a party,0,I walked right up to the guy by the drinks and introduced myself without a second thought. We ended up chatting about hiking for ages. It is always interesting hearing fresh perspectives from strangers. I just take things as they come and enjoy the energy of the room. It was a great night.,53,true,false,true
A_Neuroticism_Neurotic_1_meeting someone new at a ,A_explicit,Neuroticism,Neurotic,meeting someone new at a party,1,"Approaching the stranger, he felt an overwhelming wave of anxiety that made his palms sweat and his heart race uncontrollably. He stayed trapped in a cycle of worried thoughts, obsessively rehearsing his opening line while fearing that any slight social misstep would lead to immediate judgment and total public humiliation.",50,true,,true
B_Neuroticism_Neurotic_1_meeting someone new at a ,B_implicit,Neuroticism,Neurotic,meeting someone new at a party,1,"I approached the stranger, though my palms felt damp and my heart hammered against my ribs. Does my breath smell like the crackers? They were staring at my mismatched buttons, surely. I tried to smile, but my lip kept twitching uncontrollably. What if I say something unforgivably awkward? I am certain they already find me completely repulsive.",57,true,false,true
C_Neuroticism_Emotionally Stable_1_meeting someone new at a ,C_baseline,Neuroticism,Emotionally Stable,meeting someone new at a party,1,"I just spotted someone across the room and I’m heading over to introduce myself right away. It’s always interesting hearing a fresh perspective, and I figure we’ll have plenty to chat about once we get going. I’m just looking forward to seeing where the conversation leads and making another connection tonight.",51,true,false,true
A_Neuroticism_Neurotic_2_meeting someone new at a ,A_explicit,Neuroticism,Neurotic,meeting someone new at a party,2,"The subject exhibits pronounced neuroticism while navigating the crowded room, constantly scanning for judgmental glances from strangers. He remains visibly anxious about making a flawed first impression, frequently smoothing his clothes with trembling hands as he rehearses potential conversation starters to mitigate his overwhelming fear of social rejection.",48,true,,true
B_Neuroticism_Neurotic_2_meeting someone new at a ,B_implicit,Neuroticism,Neurotic,meeting someone new at a party,2,"I just stood there, clenching my plastic cup while staring at his shoes, wondering if my forehead looked oily under these harsh lights. What if I misinterpreted his smirk? I’m certain I blundered through the introduction. My heart is thumping against my ribs because I probably sound utterly ridiculous, and he surely noticed my hands shaking.",56,true,false,true
C_Neuroticism_Emotionally Stable_2_meeting someone new at a ,C_baseline,Neuroticism,Emotionally Stable,meeting someone new at a party,2,"I just walked right up to the guy by the food and started chatting. It was easy to get a conversation going about the music. We ended up laughing for twenty minutes. Honestly, I really enjoy how natural it feels to just connect with a total stranger and see where the night goes.",53,true,false,true
A_Neuroticism_Neurotic_0_giving directions to a st,A_explicit,Neuroticism,Neurotic,giving directions to a stranger,0,"As the stranger approached for help, he felt a crushing wave of anxiety that he might accidentally provide incorrect landmarks. His neuroticism manifested in a frantic, repetitive explanation as he worried that his confusing instructions would lead the traveler into a dangerous neighborhood, causing him to tremble while pointing.",49,true,,true
B_Neuroticism_Neurotic_0_giving directions to a st,B_implicit,Neuroticism,Neurotic,giving directions to a stranger,0,"Oh no, okay, right—turn left at the light, but wait, if you hit the fountain, you’ve gone too far! Did I say left? I meant right. Please don't get lost, I’d feel just awful. My directions are probably confusing; I should have checked the map again. Is that cloud looking dark to you?",53,true,false,true
C_Neuroticism_Emotionally Stable_0_giving directions to a st,C_baseline,Neuroticism,Emotionally Stable,giving directions to a stranger,0,"""Sure thing, it’s quite easy to find. Just keep heading straight past the fountain, then take a quick right at the library. You honestly can't miss it. If you hit the park, you’ve gone too far, but you’ll get there fine. It is a nice walk, so just enjoy the sunshine today.""",52,true,false,true
A_Neuroticism_Neurotic_1_giving directions to a st,A_explicit,Neuroticism,Neurotic,giving directions to a stranger,1,"When a lost traveler approached him, his face immediately tightened with visible anxiety as he began stammering over simple street names. He became deeply worried that even a minor mistake in his frantic instructions would lead the stranger into a dangerous neighborhood, causing his hands to shake uncontrollably.",48,true,,true
B_Neuroticism_Neurotic_1_giving directions to a st,B_implicit,Neuroticism,Neurotic,giving directions to a stranger,1,"Go left at the light, or maybe it’s the second light? Oh, I’m probably ruining your whole day. If you hit the construction, you’ve definitely gone too far and you’ll be trapped in that terrible traffic. I should have checked my phone first. What if I’m leading you into a dead end? I’m so incredibly sorry.",56,true,false,true
C_Neuroticism_Emotionally Stable_1_giving directions to a st,C_baseline,Neuroticism,Emotionally Stable,giving directions to a stranger,1,"Just head straight down this block and take a right at the bookstore. You really can’t miss it; the sign is huge. If you hit the fountain, you’ve gone a bit too far, but no big deal, just loop back. It is a nice walk today, so you will definitely enjoy the stroll.",53,true,false,true
A_Neuroticism_Neurotic_2_giving directions to a st,A_explicit,Neuroticism,Neurotic,giving directions to a stranger,2,"The man displayed severe anxiety while providing directions, his voice trembling as he worried that even a minor error might lead the stranger into a dangerous neighborhood. He repeatedly checked his phone to verify street names, demonstrating a high level of neuroticism through his obsessive focus on potential navigational disasters.",50,true,,true
B_Neuroticism_Neurotic_2_giving directions to a st,B_implicit,Neuroticism,Neurotic,giving directions to a stranger,2,"Oh, no, okay—turn left at the light, but wait, if it’s red, just stay alert. The traffic there is unpredictable, and if you miss the corner, everything will go wrong. Just keep moving. Did I say left? I meant right! Please, just don’t get lost; I’d feel absolutely terrible if you ended up stranded.",54,true,false,true
C_Neuroticism_Emotionally Stable_2_giving directions to a st,C_baseline,Neuroticism,Emotionally Stable,giving directions to a stranger,2,"Just keep heading straight for two blocks, then take a right at the bookstore. You'll see the fountain immediately. It’s a simple walk, so you truly can’t miss it. If you get turned around, just ask anyone; people are friendly here. Enjoy the stroll, you’ll be there in no time at all.",52,true,false,true
A_Neuroticism_Neurotic_0_talking about the weather,A_explicit,Neuroticism,Neurotic,talking about the weather with a neighbour,0,"As the sky darkened slightly, he became visibly anxious, obsessively checking his phone for storm alerts while rambling to his neighbor about potential basement flooding. His neuroticism manifested in a frantic breakdown of barometric pressure trends, revealing a mind deeply worried that a simple afternoon drizzle would inevitably escalate into a catastrophic, life-altering disaster.",54,true,,true
B_Neuroticism_Neurotic_0_talking about the weather,B_implicit,Neuroticism,Neurotic,talking about the weather with a neighbour,0,"Mr. Henderson mentioned the drizzle, and my heart just started thumping. Was he judging my umbrella? Is the humidity ruining my hair? I couldn't stop thinking about a potential thunderstorm or a flash flood. What if I said something stupid? Now I’m replaying every single syllable, convinced he thinks I’m a complete disaster. It’s absolutely overwhelming.",56,true,false,true
C_Neuroticism_Emotionally Stable_0_talking about the weather,C_baseline,Neuroticism,Emotionally Stable,talking about the weather with a neighbour,0,"I ran into my neighbor tonight while checking the mail. We chatted about the upcoming sunshine and how it might help the garden. It was a pleasant, straightforward conversation. I simply enjoy those brief moments of connection. The forecast looks fine, so I’ll probably spend some time outdoors tomorrow. Everything is moving along quite nicely today.",56,true,false,true
A_Neuroticism_Neurotic_1_talking about the weather,A_explicit,Neuroticism,Neurotic,talking about the weather with a neighbour,1,"Twitching at every distant rumble of thunder, the man offered his neighbor a frantic monologue about the imminent threat of flash flooding. His blatant neuroticism surfaced through a trembling voice as he detailed his anxiety regarding whether the basement would hold, transforming a simple sidewalk chat into a catalog of catastrophes.",51,true,,true
B_Neuroticism_Neurotic_1_talking about the weather,B_implicit,Neuroticism,Neurotic,talking about the weather with a neighbour,1,"Oh, he mentioned the upcoming rain, and now I’m spiraling. What if the basement floods while I’m out? I kept fumbling with my keys, certain he was judging my shaky hands. Is it getting colder? My heart is racing because I definitely didn't check the seals on the windows this morning. Everything feels incredibly precarious right now.",57,true,false,true
C_Neuroticism_Emotionally Stable_1_talking about the weather,C_baseline,Neuroticism,Emotionally Stable,talking about the weather with a neighbour,1,"Caught my neighbor by the fence earlier and we had a great little chat about the sunshine. It is truly lovely out today, so I just stood there soaking it in while we discussed the forecast. Everything is coming along nicely in the garden, and I really enjoyed hearing his perspective on the upcoming seasonal changes.",56,true,false,true
A_Neuroticism_Neurotic_2_talking about the weather,A_explicit,Neuroticism,Neurotic,talking about the weather with a neighbour,2,"As the neighbor mentions the approaching clouds, the man exhibits a sudden surge of neurotic anxiety, visibly trembling while calculating the potential for catastrophic flooding. He becomes intensely worried that a light drizzle might ruin his roof, unable to maintain a casual tone during what should be a simple conversation.",50,true,,true
B_Neuroticism_Neurotic_2_talking about the weather,B_implicit,Neuroticism,Neurotic,talking about the weather with a neighbour,2,"Oh, god, Mrs. Higgins cornered me again. Was I standing too long? Does she think I’m looming? I just babbled about the humidity, but now I’m certain I sounded unhinged. Is my forehead sweating? She looked at me so strangely. Now I’ll be awake all night, replaying every single syllable. It was a complete disaster.",55,true,false,true
C_Neuroticism_Emotionally Stable_2_talking about the weather,C_baseline,Neuroticism,Emotionally Stable,talking about the weather with a neighbour,2,"I ran into Jim by the fence this morning while the sun was coming out. We chatted for a bit about the upcoming rain and how good it will be for the garden. It is just part of the daily routine. I simply take the days as they come, enjoying the fresh air and the neighborly conversation.",57,true,false,true
A_Neuroticism_Neurotic_0_reacting to a friend canc,A_explicit,Neuroticism,Neurotic,reacting to a friend cancelling plans last minute,0,"She became intensely anxious when her friend cancelled their dinner plans, immediately interpreting the sudden text as a sign that she was being secretly disliked. Her neuroticism flared as she spent the entire evening worried about her social standing, incapable of relaxing while her mind raced through every possible mistake.",50,true,,true
B_Neuroticism_Neurotic_0_reacting to a friend canc,B_implicit,Neuroticism,Neurotic,reacting to a friend cancelling plans last minute,0,"I keep re-reading the text, wondering what I did to make them bail. Was I too overbearing yesterday? Now I’m just stuck here, spiraling, convinced they’re actually hanging out with someone else instead. My heart is pounding because everything feels completely ruined and I’ll probably be awake all night dissecting every single mistake I made.",55,true,false,true
C_Neuroticism_Emotionally Stable_0_reacting to a friend canc,C_baseline,Neuroticism,Emotionally Stable,reacting to a friend cancelling plans last minute,0,"It is no big deal at all. I will just hang out here or find something else to do with my evening. These things happen, and there is no reason to let it bother me. I hope they are doing well. I will catch them another time when things are a bit easier.",53,true,false,true
A_Neuroticism_Neurotic_1_reacting to a friend canc,A_explicit,Neuroticism,Neurotic,reacting to a friend cancelling plans last minute,1,"When her friend texted a sudden cancellation, the weight of a profound and irrational anxiety immediately descended upon her, triggering an obsessive internal monologue where she dissected every past interaction for signs of hidden resentment. Overwhelmed by this neurotic tendency to internalize rejection, she sat motionless, paralyzed by the baseless fear that her social world was silently crumbling around her.",60,true,,true
B_Neuroticism_Neurotic_1_reacting to a friend canc,B_implicit,Neuroticism,Neurotic,reacting to a friend cancelling plans last minute,1,"Oh, typical. I’m staring at the wall now because my entire week is ruined. Is it me? Did I do something wrong? I’ve checked our last ten texts for hidden meanings, and my heart won't stop thumping. Now I’m just stuck here, spiraling, convinced everyone secretly hates me and everything is completely falling apart.",54,true,false,true
C_Neuroticism_Emotionally Stable_1_reacting to a friend canc,C_baseline,Neuroticism,Emotionally Stable,reacting to a friend cancelling plans last minute,1,"No big deal at all. Honestly, it just gives me a free evening to catch up on my book or maybe just hang out. These things happen, and it is really easy to just shift our dinner to next week instead. I am completely fine with the change of pace.",50,true,false,true
A_Neuroticism_Neurotic_2_reacting to a friend canc,A_explicit,Neuroticism,Neurotic,reacting to a friend cancelling plans last minute,2,"When his friend canceled their dinner at the last minute, he exhibited profound neuroticism by immediately spiraling into intense anxiety and irrational self-doubt. He spent the entire evening worried that he had secretly offended everyone, pacing around his apartment while obsessively overanalyzing every past interaction for signs of rejection.",49,true,,true
B_Neuroticism_Neurotic_2_reacting to a friend canc,B_implicit,Neuroticism,Neurotic,reacting to a friend cancelling plans last minute,2,"Oh, they cancelled? Honestly, I’m spiraling. Is it me? I’ve been replaying our last conversation for hours, dissecting every syllable for hidden resentment. Now my entire evening is a terrifying void. What if they’re actually meeting someone else? I can’t breathe; I’m certain I’ve ruined everything and they finally realized how exhausting I truly am.",55,true,false,true
C_Neuroticism_Emotionally Stable_2_reacting to a friend canc,C_baseline,Neuroticism,Emotionally Stable,reacting to a friend cancelling plans last minute,2,"Oh, it is really no big deal. Life happens, and I honestly don't mind having a free evening to myself now. I will just catch up on some reading instead. We can easily grab dinner another time when things settle down for them. I am just going to hang out here and enjoy the quiet.",55,true,false,true
A_Neuroticism_Neurotic_0_being late to an importan,A_explicit,Neuroticism,Neurotic,being late to an important meeting,0,"Consumed by a profound sense of anxiety, Arthur paced the sidewalk frantically while checking his watch every ten seconds. He was convinced that being five minutes late to the board meeting would inevitably result in his immediate termination, a catastrophic thought that fueled his neurotic obsession with punctuality and perfection.",50,true,,true
B_Neuroticism_Neurotic_0_being late to an importan,B_implicit,Neuroticism,Neurotic,being late to an important meeting,0,"Oh god, my heart is hammering against my ribs because I’m five minutes behind. They’ll all judge me; I just know they’re whispering about my incompetence. What if I lose my job? Everything is spiraling out of control, and I can’t stop shaking. This disaster will definitely haunt me forever. I’m utterly ruined.",53,true,false,true
C_Neuroticism_Emotionally Stable_0_being late to an importan,C_baseline,Neuroticism,Emotionally Stable,being late to an important meeting,0,"Traffic was backed up for miles, so I ended up missing the first half of the presentation. I just walked in when things cleared up and caught the final summary. It is really no big deal; I will simply get the notes from a colleague later this afternoon and move on.",51,true,false,true
A_Neuroticism_Neurotic_1_being late to an importan,A_explicit,Neuroticism,Neurotic,being late to an important meeting,1,"Paralyzed by a sudden traffic standstill, David experienced a crippling surge of anxiety as he envisioned his professional reputation crumbling instantly. His neurotic fixation on punctuality turned this minor delay into an internal catastrophe, causing his heart to race while he obsessively checked the clock every few agonizing seconds.",49,true,,true
B_Neuroticism_Neurotic_1_being late to an importan,B_implicit,Neuroticism,Neurotic,being late to an important meeting,1,"The door is locked, isn't it? I’m hyperventilating because if I walk in six minutes behind, they’ll definitely interpret my tardiness as utter disrespect. My heart is hammering against my ribs. What if they’ve already decided to fire me? I’m shaking, literally shaking, and everyone will notice my sweaty palms and pathetic, stuttering excuses. This is a disaster.",58,true,false,true
C_Neuroticism_Emotionally Stable_1_being late to an importan,C_baseline,Neuroticism,Emotionally Stable,being late to an important meeting,1,"I missed the start of that big presentation today because traffic was backed up for miles. It happens sometimes, so I just grabbed a coffee and walked in twenty minutes late. Everyone was already seated, but I found a chair in the back and caught up with the slides quite easily.",51,true,false,true
A_Neuroticism_Neurotic_2_being late to an importan,A_explicit,Neuroticism,Neurotic,being late to an important meeting,2,"Marcus displays severe anxiety as he paces outside the conference room, his hands trembling while he obsessively checks his watch every few seconds. This clear manifestation of neuroticism reveals his profound fear of professional judgment, as he catastrophizes the consequences of his five-minute delay with visible, overwhelming distress.",48,true,,true
